npsn,nama_sekolah,alamat,jumlah_siswa,jumlah_guru,kepala_sekolah,telepon,kondisi_lingkungan,akreditasi
2.0102394E7,SDN Pancoran 08 Pg.,"Jl. Pancoran Barat VIII, Pancoran, Pancoran",199.0,10.0,"Rohani Sitanggang, M.MPd",021-79188930,Banjir,A
2.0106071E7,SDN Pancoran 09 Pg.,"Jl. Pancoran Barat VI A, Pancoran, Pancoran",151.0,9.0,"Hj.Nasiah Aziz,S.Pd",2.17982401E8,Banjir,B
2.0102392E7,SDN Pancoran 10 Pg.,"Jl. Pancoran Barat VIII, Pancoran, Pancoran",295.0,13.0,Retna Prihayati,7981105.0,Padat/Kumuh,A
2.0104877E7,SDN Papanggo 01 Pg.,"Jl. Papanggo III No. 53, Papanggo, Tanjung Priok",442.0,17.0,"Drs Gustaf Blegur, M.Pd",6511206.0,Baik,A
2.0104878E7,SDN Papanggo 02 Pt.,"Jl. Papanggo III No. 53, Papanggo, Tanjung Priok",430.0,15.0,"H. Rata, S.Pd",021-65835674,Padat/Kumuh,B
2.0104879E7,SDN Papanggo 03 Pg.,"Jl.Warakas I Gang 25, Papanggo, Tanjung Priok",353.0,17.0,"Anwar Sanusi,S.Pd",4.390193E7,Padat/Kumuh,B
2.0104644E7,SDN Pasar Baru 01 Pg.,"Jl. Pintu Besi I / 42 Pasar Baru, Pasar Baru, Sawah Besar",212.0,17.0,Empoh,021 - 3511768,Baik,B
2.0100476E7,SDN Pasar Baru 03 Pg.,"Jl. Pintu Besi I / 42 Pasar Baru, Pasar Baru, Sawah Besar",,9.0,Roida,2.134832355E9,Baik,B
2.0100464E7,SDN Pasar Baru 05 Pg.,"Jl. Pintu Besi I / 42 Pasar Baru, Pasar Baru, Sawah Besar",209.0,18.0,Yayah Lailatul Chaeriah,021-3505692,Baik,B
2.0104645E7,SDN Pasar Baru 07 Pg.,"Jln. Krekot Bunder III / 1, Pasar Baru, Sawah Besar",245.0,11.0,"Hj.Arni Hayati, S.Pd",021-34832357,Baik,A
2.0100451E7,SDN Pasar Baru 09 Pg.,"Jl. Krekot Bunder III / 1 Pasar Baru, Pasar Baru, Sawah Besar",231.0,10.0,"Suwarsini, M.Pd",021-34831236,Padat/Kumuh,A
2.0104646E7,SDN Pasar Baru 11 Pg.,"Jl. Kelinci Raya No. 28 Pasar Baru, Pasar Baru, Sawah Besar",216.0,12.0,"Drs.SUHARDI, MM",021-3502354,Banjir,B
2.0100454E7,SDN Pasar Baru 12 Pt.,"Jl. Kelinci Raya No. 28 Pasar Baru, Pasar Baru, Sawah Besar",156.0,7.0,Saprin,021-3510765,Banjir,B
2.0104647E7,SDN Pasar Baru 13 Pg.,"Jl. Pintu Besi I / 42 Pasar Baru, Pasar Baru, Sawah Besar",200.0,11.0,"UU Suhud, S.Pd.",021-34832330,Baik,A
